 1/13/1906	4DJ7 08L5  
 1/21/1906	4DJ7 08L6 -
 1/26/1906	4DJ7 08P2 -
 2/ 3/1906	4DJ7 08P2  
 2/ 5/1906	 197 08P2  
 2/19/1906	 197 08PL  
 2/20/1906	 197 08PP  
 3/ 8/1906	 197 08PP -
 3/10/1906	 197 0PDP -
 3/15/1906	 197 0P3D -
 3/17/1906	 857 0P3D -
 3/22/1906	 857 0P30  
 4/ 8/1906	 857 0P3E  
 4/21/1906	 857 0P3J -
 4/29/1906	 P17 0P3J -
 5/ 2/1906	 P17 0P49 -
 5/15/1906	 P17 0P49  
 5/22/1906	 P17 0P4A -
 5/27/1906	 P17 0P56 -
 6/ 1/1906	 P17 0P56  
 6/12/1906	15J7 0P56  
 6/15/1906	15J7 0P56 +
 6/21/1906	15J7 0P62 +
 6/22/1906	15J7 0P63  
 7/ 1/1906	15J7 0P63 +
 7/16/1906	15J7 0P6P +
 7/24/1906	15J7 0P70  
 7/28/1906	1E97 0P70  
 7/31/1906	1E97 1630  
 8/11/1906	1E97 163E  
 8/24/1906	1E97 163J -
 9/ 8/1906	1E97 1649  
 9/13/1906	2357 1649  
 9/24/1906	2357 164A  
10/ 9/1906	2357 1656  
10/12/1906	2357 1656 +
10/24/1906	2357 1657  
10/30/1906	2A17 1657  
11/ 2/1906	2A17 1657 +
11/23/1906	2A17 1658  
12/ 7/1906	2A17 1658 -
12/13/1906	2A17 1658  
12/15/1906	2A17 164E  
12/18/1906	30J7 164E  
12/23/1906	30J7 164J -
12/26/1906	30J7 1659 -
 1/ 7/1907	30J7 1659  
 1/21/1907	30J7 165A -
 1/26/1907	30J7 165A  
 2/ 5/1907	3797 165A  
 2/ 7/1907	3797 1666  
 2/12/1907	3797 1666 +
 2/20/1907	3797 1667  
 3/ 4/1907	3797 1667 -
 3/ 7/1907	3797 1673 -
 3/14/1907	3797 1673  
 3/22/1907	3797 1668 +
 4/ 2/1907	3L57 1674 +
 4/18/1907	3L57 1674  
 4/21/1907	3L57 1675 -
 4/28/1907	3L57 15P1 -
 5/ 9/1907	3L57 15P1  
 5/22/1907	3L57 15P2 -
 5/23/1907	3L57 15PL  
 6/ 7/1907	3L57 15PL +
 6/17/1907	3L57 160A +
 6/23/1907	3L57 160D  
 6/27/1907	3L57 160D +
 7/11/1907	3L57 1617 +
 7/24/1907	3L57 1618  
 7/27/1907	3L57 1618 -
 8/ 5/1907	3L57 1624 -
 8/13/1907	3L57 1624  
 8/19/1907	3L57 1EL4  
 8/24/1907	3L57 1EL5 -
 8/29/1907	3L57 1EP1 -
 8/31/1907	3L57 1EP1  
 9/16/1907	3L57 1EP1 +
 9/22/1907	3L57 1EPJ +
 9/24/1907	3L57 1EPL  
10/ 5/1907	3L57 1EPL +
10/14/1907	4517 1EPL +
10/16/1907	4517 1J0A +
10/25/1907	4517 1J0D  
11/ 9/1907	4517 1J17  
11/23/1907	4517 1J18 -
11/29/1907	4DJ7 1J18 -
12/ 3/1907	4DJ7 1J24 -
12/11/1907	4DJ7 1J24  
12/23/1907	4DJ7 1J25 -
12/27/1907	4DJ7 1J31 -
12/31/1907	4DJ7 1J31  
 1/11/1908	 197 1J31  
 1/19/1908	 197 1J31 +
 1/21/1908	 197 1J3L  
 2/ 5/1908	 197 1J3L +
 2/14/1908	 197 1EDA +
 2/20/1908	 197 1EDD  
 2/23/1908	 857 1EDD  
 3/10/1908	 857 1EE7  
 3/20/1908	 84E 1EE7  
 3/21/1908	 84E 1EDE +
 4/ 6/1908	 84E 1EE8 +
