 1/ 1/1979	42D9 1PJJ -
 6/13/1980	23E9 265A +
 6/16/1980	2459 265A +
 6/18/1980	24L9 265A +
 6/21/1980	2579 265D  
 6/23/1980	2609 265D  
 6/26/1980	2699 265D  
 6/28/1980	2729 265D  
 6/30/1980	27D9 265D  
 7/ 2/1980	2849 265D  
 7/ 4/1980	2219 265D  
 7/ 6/1980	22A9 265D  
 7/ 9/1980	2339 265D  
 7/11/1980	2A89 265D  
 7/13/1980	2D19 265D  
 7/15/1980	2DA9 265D  
 7/18/1980	2E39 265D  
 7/20/1980	2EE9 265D  
 7/23/1980	2J59 265E -
 7/25/1980	2JL9 265E -
 7/27/1980	2L79 265E -
 7/30/1980	2P09 265E -
 8/ 1/1980	28J9 265E -
 8/ 3/1980	2969 265E -
 8/ 5/1980	29P9 265E -
 8/ 7/1980	2A89 2668 -
 8/ 9/1980	2D19 2668  
 8/12/1980	2DA9 2668  
 8/14/1980	2E39 2668  
 8/17/1980	2EE9 2668  
 8/19/1980	2J59 2668  
 8/22/1980	2JL9 2668  
 8/23/1980	2JL9 2669 -
 8/24/1980	2L79 2669 -
 8/25/1980	2L79 2669  
 8/26/1980	2P09 2669  
 8/28/1980	28J9 2669  
 8/29/1980	2P99 2669  
 8/30/1980	3029 2669  
 9/ 1/1980	30D9 2669  
 9/ 3/1980	3149 2669  
 9/ 6/1980	31J9 2669  
 9/ 8/1980	3269 2675  
 9/10/1980	3269 2675 +
 9/11/1980	32P9 2675 +
 9/13/1980	3389 2675 +
 9/16/1980	3419 2675 +
 9/18/1980	34A9 2675 +
 9/20/1980	3539 2675 +
 9/21/1980	353A 2675 +
 9/22/1980	35EA 2675 +
 9/23/1980	35EA 2676  
 9/24/1980	2P9A 2676  
 9/26/1980	302A 2676  
 9/28/1980	30DA 2676  
 9/30/1980	30DA 2676 +
10/ 1/1980	314A 2676 +
10/ 3/1980	31JA 2676 +
10/ 5/1980	326A 2682 +
10/ 8/1980	32PA 2682 +
10/10/1980	338A 2682 +
10/12/1980	3A4A 2682 +
10/13/1980	3AJA 2682 +
10/15/1980	3D6A 2682 +
10/18/1980	3DPA 2682 +
10/20/1980	3E8A 2682 +
10/22/1980	365A 2682 +
10/23/1980	365A 2683  
10/24/1980	36LA 2683  
10/26/1980	377A 2683  
10/27/1980	377A 2J43  
10/28/1980	380A 2J43  
10/30/1980	389A 2J4P  
11/ 2/1980	392A 2J4P  
11/ 4/1980	39DA 2J4P  
11/ 7/1980	3A4A 2J4P  
11/ 9/1980	3AJA 2J4P  
11/12/1980	3D6A 2J4P  
11/14/1980	3DPA 2J4P  
11/16/1980	3E8A 2J4P  
11/18/1980	365A 2J4P  
11/20/1980	36LA 2J4P  
11/22/1980	3L3A 2J50 -
11/24/1980	3LEA 2J5E -
11/26/1980	3P5A 2J5E -
11/29/1980	3PLA 2J5E -
12/ 1/1980	407A 2J5E -
12/ 4/1980	410A 2J5E -
12/ 6/1980	419A 2J5E  
12/ 9/1980	422A 2J5E  
12/11/1980	42DA 2J5E  
12/13/1980	434A 2J5E  
12/16/1980	3J1A 2J5E  
12/18/1980	3JAA 2J68  
12/20/1980	3L3A 2J68  
12/22/1980	3LEA 2J69 -
12/24/1980	3P5A 2J69 -
12/25/1980	3P5A 2J69  
12/26/1980	3PLA 2J69  
12/29/1980	407A 2J69  
12/31/1980	47EA 2J69  
 1/ 3/1981	485A 2J69  
 1/ 5/1981	48LA 2J69  
 1/ 7/1981	497A 2J69  
 1/10/1981	4A0A 2J69  
 1/11/1981	4A0A 2J75  
 1/12/1981	43JA 2J75  
 1/13/1981	43JA 2J75 +
 1/14/1981	446A 2J75 +
 1/16/1981	44PA 2J75 +
 1/18/1981	458A 2J75 +
 1/20/1981	461A 2J76  
 1/23/1981	46AA 2J76  
 1/25/1981	473A 2J76  
 1/27/1981	47EA 2J76  
 1/30/1981	485A 2J76  
 2/ 1/1981	48LA 2J76 +
 2/ 4/1981	497A 2J82 +
 2/ 6/1981	4A0A 2J82 +
 2/ 7/1981	50EA 2J82 +
 2/ 8/1981	4A9A 2J82 +
 2/10/1981	4D2A 2J82 +
 2/12/1981	4DDA 2J82 +
 2/14/1981	4E4A 2J82 +
 2/16/1981	4E4A 2J82  
